model,params,fit_seconds,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,val_dangerous_errors
RandomForest + FE,"n_estimators=150, max_depth=None, min_samples_leaf=1",19.91,1.0,1.0,1.0,1.0,1.0,0
ExtraTrees + FE,"n_estimators=200, max_depth=20, min_samples_leaf=1",13.71,1.0,1.0,1.0,1.0,1.0,0
ExtraTrees + FE,"n_estimators=200, max_depth=20, min_samples_leaf=3",13.37,1.0,1.0,1.0,1.0,1.0,0
ExtraTrees + FE,"n_estimators=200, max_depth=None, min_samples_leaf=1",20.48,1.0,1.0,1.0,1.0,1.0,0
ExtraTrees + FE,"n_estimators=200, max_depth=None, min_samples_leaf=3",19.94,1.0,1.0,1.0,1.0,1.0,0
Soft Voting ensemble + FE,SVD-KNN + RF + ExtraTrees,35.4,0.9998905668636463,0.999877345762296,1.0,0.9997547216090262,1.0,0
RandomForest + FE,"n_estimators=150, max_depth=20, min_samples_leaf=1",14.11,0.9997811337272926,0.9997547216090262,0.9997547216090262,0.9997547216090262,0.9999999030711754,1
TruncatedSVD + KNN,"n_components=40, n_neighbors=11, weights=distance",0.82,0.9997811337272926,0.9997546614327772,1.0,0.9995094432180525,0.9999999515355876,0
RandomForest + FE,"n_estimators=150, max_depth=None, min_samples_leaf=3",19.43,0.9996717005909389,0.9996319470003681,1.0,0.9992641648270787,1.0,0
TruncatedSVD + KNN,"n_components=40, n_neighbors=31, weights=distance",0.85,0.9996717005909389,0.9996319470003681,1.0,0.9992641648270787,0.9999988368541032,0
RandomForest + FE,"n_estimators=150, max_depth=20, min_samples_leaf=3",15.16,0.9995622674545852,0.9995093228655545,0.9997546012269939,0.9992641648270787,0.9999996607491135,1
DecisionTree + FE,"max_depth=None, min_samples_leaf=5",1.25,0.9990151017728168,0.9988958410011042,0.9992636229749632,0.9985283296541575,0.9994090249556344,3
DecisionTree + FE,"max_depth=20, min_samples_leaf=5",1.25,0.9990151017728168,0.9988958410011042,0.9992636229749632,0.9985283296541575,0.9994028699752642,3
GradientBoosting + FE,"n_estimators=160, learning_rate=0.1, max_depth=3",22.84,0.9672794922302473,0.9630909764226638,0.9694333996023857,0.9568310031886191,0.9951855937401813,123
LogisticRegression OHE + FE,C=3.0,1.04,0.9380608448238127,0.9315598548972188,0.9186739804435965,0.9448123620309051,0.9859493914251041,341
DecisionTree + FE,"max_depth=12, min_samples_leaf=5",0.98,0.9389363099146422,0.9268676277850589,0.9952153110047847,0.8673043904831984,0.9848239993056018,17
LogisticRegression OHE + FE,C=1.0,0.87,0.9313854235062377,0.9246484797500301,0.9064561734213007,0.9435859700760363,0.9843363503883962,397
LogisticRegression OHE + FE,C=0.3,0.75,0.9251477347340775,0.9179659390741185,0.8981459751232105,0.9386804022565612,0.9807552664944145,434
GradientBoosting + FE,"n_estimators=160, learning_rate=0.05, max_depth=3",23.24,0.9115780258262202,0.8986198243412798,0.919856152067814,0.8783419180770174,0.9771761211769272,312
LogisticRegression OHE,C=3.0,0.52,0.862551980739768,0.8471275559883155,0.8407827977772409,0.8535688005886681,0.935512913657693,659
LogisticRegression OHE,C=0.3,0.38,0.8621142481943532,0.8468643655809431,0.8393158275114431,0.8545499141525632,0.93195189403043,667
LogisticRegression OHE,C=1.0,0.39,0.8616765156489385,0.8462661153004135,0.8393244873341376,0.8533235221976944,0.9344903630212269,666
TruncatedSVD + LogisticRegression,"n_components=80, C=1",1.7,0.8200919238345371,0.7976864385921733,0.8004445542109163,0.7949472651459406,0.8940404136011109,808
TruncatedSVD + LogisticRegression,"n_components=40, C=1",0.87,0.7312322171153425,0.697089294523927,0.70106673282064,0.6931567328918322,0.804126909491789,1205
AdaBoost + FE,"n_estimators=200, learning_rate=0.5",13.29,0.7094550229809586,0.6381354777156876,0.7180981595092024,0.5741967132695609,0.8045329685707802,919
TruncatedSVD + LogisticRegression,"n_components=20, C=1",0.69,0.6742175530750711,0.6025897743959417,0.6611013473930872,0.5535933284277655,0.7170496881872406,1157
AdaBoost + FE,"n_estimators=100, learning_rate=0.5",7.0,0.6894287590282338,0.6012924978926665,0.7037158829332456,0.5248957566838361,0.7627384951906582,901
